"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Raúl Jiménez",1991,"mx MEX","FW","Fulham","eng Premier League",34,36,2189,9,3,73,18,5,0,"Raul Jimenez",NA,"Raul Jimenez","Raúl Jiménez","Fulham FC","premier-league","Attack","Centre-Forward",1991-05-05,"Mexico",3000000
"Raúl Moro",2002,"es ESP","MF","Osasuna","es La Liga",22,14,625,0,2,6,0,0,0,"Raul Moro",NA,"Raul Moro","Raúl Moro","CA Osasuna","laliga","Attack","Left Winger",2002-12-05,"Spain",3500000
"Reda Belahyane",2004,"ma MAR","MF","Lazio","it Serie A",21,13,609,0,2,3,1,1,1,"Reda Belahyane",NA,"Reda Belahyane","Reda Belahyane","Società Sportiva Lazio S.p.A.","serie-a","Midfield","Defensive Midfield",2004-06-01,"Morocco",6800000
"Reda Khadra",2001,"de GER","FW","Le Havre","fr Ligue 1",24,8,229,0,0,6,3,0,0,"Reda Khadra",NA,"Reda Khadra","Reda Khadra","Le Havre AC","ligue-1","Midfield","Attacking Midfield",2001-07-04,"Germany",1200000
"Reece James",1999,"eng ENG","DF,MF","Chelsea","eng Premier League",25,29,1963,2,4,22,7,4,0,"Reece James",NA,"Reece James","Reece James","Chelsea FC","premier-league","Defender","Right-Back",1999-12-08,"England",60000000
"Reinildo Mandava",1994,"mz MOZ","DF","Sunderland","eng Premier League",31,25,1966,0,1,4,0,7,1,"Reinildo Mandava",NA,"Reinildo Mandava","Reinildo Mandava","Sunderland AFC","premier-league","Defender","Left-Back",1994-01-21,"Mozambique",4000000
"Reiss Nelson",1999,"eng ENG","FW,MF","Brentford","eng Premier League",25,10,126,0,1,5,1,0,0,"Reiss Nelson",NA,"Reiss Nelson","Reiss Nelson","Brentford FC","premier-league","Attack","Left Winger",1999-12-10,"England",8000000
"Remo Freuler",1992,"ch SUI","MF","Bologna","it Serie A",33,29,2213,1,2,8,1,5,0,"Remo Freuler",NA,"Remo Freuler","Remo Freuler","Bologna Football Club 1909","serie-a","Midfield","Central Midfield",1992-04-15,"Switzerland",3000000
"Renato Marin",2006,"it ITA","GK","Paris Saint-Germain","fr Ligue 1",19,2,180,0,0,0,0,0,0,"Renato Marin",NA,"Renato Marin","Renato Marin","Paris Saint-Germain","ligue-1","Goalkeeper","Goalkeeper",2006-07-10,"Italy",1000000
"Renato Veiga",2003,"pt POR","DF","Villarreal","es La Liga",22,32,2481,0,0,9,3,5,1,"Renato Veiga",NA,"Renato Veiga","Renato Veiga","Villarreal CF","laliga","Defender","Centre-Back",2003-07-29,"Portugal",25000000
"Renzo Saravia",1993,"ar ARG","DF","Valencia","es La Liga",32,5,351,0,0,1,0,2,0,"Renzo Saravia",NA,"Renzo Saravia","Renzo Saravia","Valencia CF","laliga","Defender","Right-Back",1993-06-16,"Argentina",1400000
"Ricardo Rodríguez",1992,"ch SUI","DF","Real Betis","es La Liga",32,23,1547,0,1,3,0,0,0,"Ricardo Rodriguez",NA,"Ricardo Rodriguez","Ricardo Rodríguez","Real Betis Balompié","laliga","Defender","Left-Back",1992-08-25,"Switzerland",1400000
"Riccardo Braschi",2006,"it ITA","FW","Fiorentina","it Serie A",18,2,105,0,0,3,0,0,0,"Riccardo Braschi",NA,"Riccardo Braschi","Riccardo Braschi","ACF Fiorentina","serie-a","Attack","Centre-Forward",2006-08-24,"Italy",2000000
"Riccardo Calafiori",2002,"it ITA","DF","Arsenal","eng Premier League",23,26,1699,1,2,32,8,5,0,"Riccardo Calafiori",NA,"Riccardo Calafiori","Riccardo Calafiori","Arsenal FC","premier-league","Defender","Left-Back",2002-05-19,"Italy",55000000
"Riccardo Orsolini",1997,"it ITA","MF,FW","Bologna","it Serie A",28,35,2111,10,1,82,31,2,0,"Riccardo Orsolini",NA,"Riccardo Orsolini","Riccardo Orsolini","Bologna Football Club 1909","serie-a","Attack","Right Winger",1997-01-24,"Italy",15000000
"Riccardo Sottil",1999,"it ITA","FW,MF","Lecce","it Serie A",26,21,1066,1,2,20,3,1,0,"Riccardo Sottil",NA,"Riccardo Sottil","Riccardo Sottil","US Lecce","serie-a","Attack","Left Winger",1999-06-03,"Italy",3000000
"Richarlison",1997,"br BRA","FW,MF","Tottenham Hotspur","eng Premier League",28,32,1964,11,4,61,26,5,0,"Richarlison",NA,"Richarlison","Richarlison","Tottenham Hotspur","premier-league","Attack","Centre-Forward",1997-05-10,"Brazil",25000000
"Rico Henry",1997,"jm JAM","DF","Brentford","eng Premier League",28,25,1328,0,1,5,0,2,0,"Rico Henry",NA,"Rico Henry","Rico Henry","Brentford FC","premier-league","Defender","Left-Back",1997-07-08,"Jamaica",13000000
"Rico Lewis",2004,"eng ENG","DF","Manchester City","eng Premier League",20,11,407,0,1,3,0,2,0,"Rico Lewis",NA,"Rico Lewis","Rico Lewis","Manchester City","premier-league","Defender","Right-Back",2004-11-21,"England",28000000
"Ridle Baku",1998,"de GER","DF","RB Leipzig","de Bundesliga",27,32,2504,2,3,30,6,4,0,"Ridle Baku",NA,"Ridle Baku","Ridle Baku","RB Leipzig","bundesliga","Defender","Right-Back",1998-04-08,"Germany",12000000
"Rio Cardines",2006,"tt TRI","MF","Crystal Palace","eng Premier League",19,1,90,0,0,1,0,0,0,"Rio Cardines",NA,"Rio Cardines","Rio Cardines","Crystal Palace","premier-league","Defender","Left-Back",2006-07-01,"Trinidad and Tobago",300000
"Rio Ngumoha",2008,"eng ENG","MF","Liverpool","eng Premier League",16,19,560,2,1,16,6,0,0,"Rio Ngumoha",NA,"Rio Ngumoha","Rio Ngumoha","Liverpool FC","premier-league","Attack","Left Winger",2008-08-29,"England",30000000
"Ritsu Doan",1998,"jp JPN","MF","Eintracht Frankfurt","de Bundesliga",27,31,2364,5,5,41,15,5,0,"Ritsu Doan",NA,"Ritsu Doan","Ritsu Doan","Eintracht Frankfurt","bundesliga","Attack","Right Winger",1998-06-16,"Japan",17000000
"Riyad Idrissi",2005,"it ITA","MF,DF","Cagliari","it Serie A",20,23,783,2,0,6,6,3,0,"Riyad Idrissi",NA,"Riyad Idrissi","Riyad Idrissi","Cagliari Calcio","serie-a","Defender","Left-Back",2005-06-13,"Italy",4000000
"Robert Andrich",1994,"de GER","DF,MF","Leverkusen","de Bundesliga",30,32,2546,2,0,12,3,6,1,"Robert Andrich",NA,"Robert Andrich","Robert Andrich","Bayer 04 Leverkusen","bundesliga","Midfield","Defensive Midfield",1994-09-22,"Germany",6000000
"Robert Glatzel",1994,"de GER","FW","Hamburger SV","de Bundesliga",31,19,612,3,2,16,7,0,0,"Robert Glatzel",NA,"Robert Glatzel","Robert Glatzel","Hamburger SV","bundesliga","Attack","Centre-Forward",1994-01-08,"Germany",1500000
"Robert Lewandowski",1988,"pl POL","FW","Barcelona","es La Liga",36,31,1664,14,2,63,29,2,0,"Robert Lewandowski",NA,"Robert Lewandowski","Robert Lewandowski","FC Barcelona","laliga","Attack","Centre-Forward",1988-08-21,"Poland",7000000
"Robert Skov",1996,"dk DEN","DF,MF","Union Berlin","de Bundesliga",29,3,220,0,0,1,0,0,0,"Robert Skov",NA,"Robert Skov","Robert Skov","1.FC Union Berlin","bundesliga","Midfield","Left Midfield",1996-05-20,"Denmark",2000000
"Robert Sánchez",1997,"es ESP","GK","Chelsea","eng Premier League",27,35,3039,0,1,0,0,3,1,"Robert Sanchez",NA,"Robert Sanchez","Robert Sánchez","Chelsea FC","premier-league","Goalkeeper","Goalkeeper",1997-11-18,"Spain",22000000
